letdocID	Author	AuthorID	Recipient	RecipientID	letdoc_Date_year	src_city	src_country	src_lng	src_lat	dest_city	dest_country	dst_lng	dst_lat
rousjeVF0070263_1key001cor	Rey, Marc Michel	reymarcm00002960	Rousseau, Jean Jacques	roussjeanj003042	1760	Amsterdam	Netherlands	4.893195	52.37312	Montmorency	France	2.31937	48.98746
rousjeVF0070273_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Lorenzy, Orlando de	lorenorlan022992	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070275_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070277_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070278_1key001cor	Montmorency-Luxembourg, duc de Luxembourg, Charles François Frédéric de	montmcharl022996	Rousseau, Jean Jacques	roussjeanj003042	1760	Versailles	France	2.13112	48.801935	Montmorency	France	2.31937	48.98746
rousjeVF0070287_1key001cor	Vernet, Jacob	vernejacob003435	Rousseau, Jean Jacques	roussjeanj003042	1760	Geneva	Switzerland	6.142701	46.208358	Paris	France	2.34121	48.856925
rousjeVF0070292_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Brémond d'Ars, marquise de Verdelin, Marie Madeleine de	bremomarie022974	1760	Montmorency	France	2.31937	48.98746	Soissy	France	6.58167	48.965672
rousjeVF0070302_1key001cor	Neufville-Villeroy, duchesse de Luxembourg, Madeleine Angélique de	neufvmadel001145	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070303_1key001cor	Rey, Marc Michel	reymarcm00002960	Rousseau, Jean Jacques	roussjeanj003042	1760	Amsterdam	Netherlands	4.893195	52.37312	Montmorency	France	2.31937	48.98746
rousjeVF0070306_1key001cor	Brémond d'Ars, marquise de Verdelin, Marie Madeleine de	bremomarie022974	Rousseau, Jean Jacques	roussjeanj003042	1760	Soisy	France	2.45922	48.651539	Montmorency	France	2.31937	48.98746
rousjeVF0070320_1key001cor	Guérin, Hippolyte Lucas	guerihippo023389	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070322b_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070327_1key001cor	Rey, Marc Michel	reymarcm00002960	Rousseau, Jean Jacques	roussjeanj003042	1760	Amsterdam	Netherlands	4.893195	52.37312	Montmorency	France	2.31937	48.98746
rousjeVF0070338_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070343_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Dupin, Claude	dupinclaud001434	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070344_1key001cor	La Live de Bellegarde, comtesse d'Houdetot, ́Élisabeth Françoise Sophie de	lalivelisa022972	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070345_1key001cor	Bastide, Jean François de	bastijeanf000878	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070350_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Lenieps, Toussaint Pierre	lenietouss023363	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070354_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Brémond d'Ars, marquise de Verdelin, Marie Madeleine de	bremomarie022974	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070355_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Bastide, Jean François de	bastijeanf000878	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070365_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070370b_1key001cor	Vernet, Jacob	vernejacob003435	Rousseau, Jean Jacques	roussjeanj003042	1760	Geneva	Switzerland	6.142701	46.208358	Montmorency	France	2.31937	48.98746
rousjeVF0070377_1key001cor	Rey, Marc Michel	reymarcm00002960	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0070378_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Brémond d'Ars, marquise de Verdelin, Marie Madeleine de	bremomarie022974	1760	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0070386_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1759	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080001_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Vernes, Jacob	vernejacob003434	1761	Montmorency	France	2.31937	48.98746	Geneva	Switzerland	6.142701	46.208358
rousjeVF0080019_1key001cor	Cuyret de Margency, Adrien	cuyreadrie002908	Rousseau, Jean Jacques	roussjeanj003042	1760	Paris	France	2.34121	48.856925	Enghien-les-Bains	France	2.30472	48.969245
rousjeVF0080028_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080034_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080042_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080043_1key001cor	Lalive de Jully, Ange Laurent	lalivangel023412	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080045_1key001cor	Cramer, Claire	crameclair000757	Rousseau, Jean Jacques	roussjeanj003042	1761	Geneva	Switzerland	6.142701	46.208358	Montmorency	France	2.31937	48.98746
rousjeVF0080047_1key001cor	Bonnet, Charles	bonnecharl000348	Haller, Baron Albrecht von	hallealbre000054	1761	Geneva	Switzerland	6.142701	46.208358	Roche	Switzerland	6.92959	46.361815
rousjeVF0080050_1key001cor	Rey, Marc Michel	reymarcm00002960	Rousseau, Jean Jacques	roussjeanj003042	1761	Amsterdam	Netherlands	4.893195	52.37312	Montmorency	France	2.31937	48.98746
rousjeVF0080058_1key001cor	Rey, Marc Michel	reymarcm00002960	Lamoignon de Malesherbes, Chrétien Guillaume de	lamoichret001090	1761	Amsterdam	Netherlands	4.893195	52.37312	Paris	France	2.34121	48.856925
rousjeVF0080069_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Le Riche de La Popelinière, Alexandre Jean Joseph	lericalexa002274	1761	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0080076_1key001cor	Le Rond d'Alembert, Jean	leronjean0002275	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080087_1key001cor	Buisson, Jean Louis	buissjeanl023660	Rousseau, Jean Jacques	roussjeanj003042	1761	Geneva	Switzerland	6.142701	46.208358	Enghien-les-Bains	France	2.30472	48.969245
rousjeVF0080090_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Cramer, Claire	crameclair000757	1761	Montmorency	France	2.31937	48.98746	Geneva	Switzerland	6.142701	46.208358
rousjeVF0080128_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Rey, Marc Michel	reymarcm00002960	1761	Montmorency	France	2.31937	48.98746	Amsterdam	Netherlands	4.893195	52.37312
rousjeVF0080129_1key001cor	Neufville-Villeroy, duchesse de Luxembourg, Madeleine Angélique de	neufvmadel001145	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080147_1key001cor	Fréron, Elie Catherine	freroeliec001610	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080154_1key001cor	Dangirard, T.	dangit0000000846	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080157b_1key001cor	[unknown]	unknown000017184	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Enghien-les-Bains	France	2.30472	48.969245
rousjeVF0080159_1key001cor	Cuyret de Margency, Adrien	cuyreadrie002908	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Paris	France	2.34121	48.856925
rousjeVF0080162_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Dangirard, T.	dangit0000000846	1761	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0080166a_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Froullay, marquise de Créqui, Renée Caroline de	froulrenee023606	1761	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0080174_1key001cor	Neufville-Villeroy, duchesse de Luxembourg, Madeleine Angélique de	neufvmadel001145	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080178_1key001cor	Pernetti, Jacques	pernejacqu002793	Rousseau, Jean Jacques	roussjeanj003042	1761	Lyon	France	4.8291	45.759361	Montmorency	France	2.31937	48.98746
rousjeVF0080181_1key001cor	Roguin, Daniel	roguidanie023015	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080219_1key001cor	Dangirard, T.	dangit0000000846	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080222_1key001cor	Valmalette, comtesse de Morsan, Louise Anne Marie	valmalouis023261	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080224_1key001cor	Cramer, Claire	crameclair000757	Rousseau, Jean Jacques	roussjeanj003042	1761	Geneva	Switzerland	6.142701	46.208358	Paris	France	2.34121	48.856925
rousjeVF0080232_1key001cor	Rousseau, Jean Jacques	roussjeanj003042	Dangirard, T.	dangit0000000846	1761	Montmorency	France	2.31937	48.98746	Paris	France	2.34121	48.856925
rousjeVF0080238_1key001cor	Brémond d'Ars, marquise de Verdelin, Marie Madeleine de	bremomarie022974	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080240_1key001cor	Bonnet, Charles	bonnecharl000348	Haller, Baron Albrecht von	hallealbre000054	1761	Geneva	Switzerland	6.142701	46.208358	Roche	Switzerland	6.92959	46.361815
rousjeVF0080241_1key001cor	Marteau, François Joseph	martefranc023312	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080246_1key001cor	Lorenzy, Orlando de	lorenorlan022992	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
rousjeVF0080247_1key001cor	Pinot Duclos, Charles	pinotcharl002842	Rousseau, Jean Jacques	roussjeanj003042	1761	Paris	France	2.34121	48.856925	Montmorency	France	2.31937	48.98746
